,stopword
0,아
1,휴
2,아이구
3,아이쿠
4,아이고
5,어
6,나
7,우리
8,저희
9,따라
10,의해
11,을
12,를
13,에
14,의
15,가
16,으로
17,로
18,에게
19,뿐이다
20,의거하여
21,근거하여
22,입각하여
23,기준으로
24,예하면
25,예를들면
26,예를들자면
27,저
28,소인
29,소생
30,저희
31,지말고
32,하지마
33,하지마라
34,다른
35,물론
36,또한
37,그리고
38,비길수없다
39,해서는안된다
40,뿐만아니라
41,만이아니다
42,만은아니다
43,막론하고
44,관계없이
45,그치지않다
46,그러나
47,그런데
48,하지만
49,든간에
50,논하지않다
51,따지지않다
52,설사
53,비록
54,더라도
55,아니면
56,만못하다
57,하는편이낫다
58,불문하고
59,향하여
60,향해서
61,향하다
62,쪽으로
63,틈타
64,이용하여
65,타다
66,오르다
67,제외하고
68,이외에
69,이밖에
70,하여야
71,비로소
72,한다면몰라도
73,외에도
74,이곳
75,여기
76,부터
77,기점으로
78,따라서
79,할생각이다
80,하려고하다
81,이리하여
82,그리하여
83,그렇게함으로써
84,하지만
85,일때
86,할때
87,앞에서
88,중에서
89,보는데서
90,으로써
91,로써
92,까지
93,해야한다
94,일것이다
95,반드시
96,할줄알다
97,할수있다
98,할수있어
99,임에틀림없다
100,한다면
101,등
102,등등
103,제
104,겨우
105,단지
106,다만
107,할뿐
108,딩동
109,댕그
110,대해서
111,대하여
112,대하면
113,훨씬
114,얼마나
115,얼마만큼
116,얼마큼
117,남짓
118,여
119,얼마간
120,약간
121,다소
122,좀
123,조금
124,다수
125,몇
126,얼마
127,지만
128,하물며
129,또한
130,그러나
131,그렇지만
132,하지만
133,이외에도
134,대해말하자면
135,뿐이다
136,다음에
137,반대로
138,반대로말하자면
139,이와반대로
140,바꾸어서말하면
141,바꾸어서한다면
142,만약
143,그렇지않으면
144,까악
145,툭
146,딱
147,삐걱거리다
148,보드득
149,비걱거리다
150,꽈당
151,응당
152,해야한다
153,에가서
154,각
155,각각
156,여러분
157,각종
158,각자
159,제각기
160,하도록하다
161,와
162,과
163,그러므로
164,그래서
165,고로
166,한까닭에
167,하기때문에
168,거니와
169,이지만
170,대하여
171,관하여
172,관한
173,과연
174,실로
175,아니나다를가
176,생각한대로
177,진짜로
178,한적이있다
179,하곤하였다
180,하
181,하하
182,허허
183,아하
184,거바
185,와
186,오
187,왜
188,어째서
189,무엇때문에
190,어찌
191,하겠는가
192,무슨
193,어디
194,어느곳
195,더군다나
196,하물며
197,더욱이는
198,어느때
199,언제
200,야
201,이봐
202,어이
203,여보시오
204,흐흐
205,흥
206,휴
207,헉헉
208,헐떡헐떡
209,영차
210,여차
211,어기여차
212,끙끙
213,아야
214,앗
215,아야
216,콸콸
217,졸졸
218,좍좍
219,뚝뚝
220,주룩주룩
221,솨
222,우르르
223,그래도
224,또
225,그리고
226,바꾸어말하면
227,바꾸어말하자면
228,혹은
229,혹시
230,답다
231,및
232,그에따르는
233,때가되어
234,즉
235,지든지
236,설령
237,가령
238,하더라도
239,할지라도
240,일지라도
241,지든지
242,몇
243,거의
244,하마터면
245,인젠
246,이젠
247,된바에야
248,된이상
249,만큼
250,어찌됏든
251,그위에
252,게다가
253,점에서보아
254,비추어보아
255,고려하면
256,하게될것이다
257,일것이다
258,비교적
259,좀
260,보다더
261,비하면
262,시키다
263,하게하다
264,할만하다
265,의해서
266,연이서
267,이어서
268,잇따라
269,뒤따라
270,뒤이어
271,결국
272,의지하여
273,기대여
274,통하여
275,자마자
276,더욱더
277,불구하고
278,얼마든지
279,마음대로
280,주저하지않고
281,곧
282,즉시
283,바로
284,당장
285,하자마자
286,밖에안된다
287,하면된다
288,그래
289,그렇지
290,요컨대
291,다시말하자면
292,바꿔말하면
293,즉
294,구체적으로
295,말하자면
296,시작하여
297,시초에
298,이상
299,허
300,헉
301,허걱
302,바와같이
303,해도좋다
304,해도된다
305,게다가
306,더구나
307,하물며
308,와르르
309,팍
310,퍽
311,펄렁
312,동안
313,이래
314,하고있었다
315,이었다
316,에서
317,로부터
318,까지
319,예하면
320,했어요
321,해요
322,함께
323,같이
324,더불어
325,마저
326,마저도
327,양자
328,모두
329,습니다
330,가까스로
331,하려고하다
332,즈음하여
333,다른
334,다른방면으로
335,해봐요
336,습니까
337,했어요
338,말할것도없고
339,무릎쓰고
340,개의치않고
341,하는것만못하다
342,하는것이낫다
343,매
344,매번
345,들
346,모
347,어느것
348,어느
349,로써
350,갖고말하자면
351,어디
352,어느쪽
353,어느것
354,어느해
355,어느년도
356,라해도
357,언젠가
358,어떤것
359,어느것
360,저기
361,저쪽
362,저것
363,그때
364,그럼
365,그러면
366,요만한걸
367,그래
368,그때
369,저것만큼
370,그저
371,이르기까지
372,할줄안다
373,할힘이있다
374,너
375,너희
376,당신
377,어찌
378,설마
379,차라리
380,할지언정
381,할지라도
382,할망정
383,할지언정
384,구토하다
385,게우다
386,토하다
387,메쓰겁다
388,옆사람
389,퉤
390,쳇
391,의거하여
392,근거하여
393,의해
394,따라
395,힘입어
396,그
397,다음
398,버금
399,두번째로
400,기타
401,첫번째로
402,나머지는
403,그중에서
404,견지에서
405,형식으로쓰여
406,입장에서
407,위해서
408,단지
409,의해되다
410,하도록시키다
411,뿐만아니라
412,반대로
413,전후
414,전자
415,앞의것
416,잠시
417,잠깐
418,하면서
419,그렇지만
420,다음에
421,그러한즉
422,그런즉
423,남들
424,아무거나
425,어찌하든지
426,같다
427,비슷하다
428,예컨대
429,이럴정도로
430,어떻게
431,만약
432,만일
433,위에서서술한바와같이
434,인듯하다
435,하지않는다면
436,만약에
437,무엇
438,무슨
439,어느
440,어떤
441,아래윗
442,조차
443,한데
444,그럼에도불구하고
445,여전히
446,심지어
447,까지도
448,조차도
449,하지않도록
450,않기위하여
451,때
452,시각
453,무렵
454,시간
455,동안
456,어때
457,어떠한
458,하여금
459,네
460,예
461,우선
462,누구
463,누가알겠는가
464,아무도
465,줄은모른다
466,줄은몰랏다
467,하는김에
468,겸사겸사
469,하는바
470,그런까닭에
471,한이유는
472,그러니
473,그러니까
474,때문에
475,그
476,너희
477,그들
478,너희들
479,타인
480,것
481,것들
482,너
483,위하여
484,공동으로
485,동시에
486,하기위하여
487,어찌하여
488,무엇때문에
489,붕붕
490,윙윙
491,나
492,우리
493,엉엉
494,휘익
495,윙윙
496,오호
497,아하
498,어쨋든
499,만못하다
500,하기보다는
501,차라리
502,하는편이낫다
503,흐흐
504,놀라다
505,상대적으로말하자면
506,마치
507,아니라면
508,쉿
509,그렇지않으면
510,그렇지않다면
511,안그러면
512,아니었다면
513,하든지
514,아니면
515,이라면
516,좋아
517,알았어
518,하는것도
519,그만이다
520,어쩔수없다
521,하나
522,일
523,일반적으로
524,일단
525,한켠으로는
526,오자마자
527,이렇게되면
528,이와같다면
529,전부
530,한마디
531,한항목
532,근거로
533,하기에
534,아울러
535,하지않도록
536,않기위해서
537,이르기까지
538,이되다
539,로인하여
540,까닭으로
541,이유만으로
542,이로인하여
543,그래서
544,이때문에
545,그러므로
546,그런까닭에
547,알수있다
548,결론을낼수있다
549,으로인하여
550,있다
551,어떤것
552,관계가있다
553,관련이있다
554,연관되다
555,어떤것들
556,에대해
557,이리하여
558,그리하여
559,여부
560,하기보다는
561,하느니
562,하면할수록
563,운운
564,이러이러하다
565,하구나
566,하도다
567,다시말하면
568,다음으로
569,에있다
570,에달려있다
571,우리
572,우리들
573,오히려
574,하기는한데
575,어떻게
576,어떻해
577,어찌됏어
578,어때
579,어째서
580,본대로
581,자
582,이
583,이쪽
584,여기
585,이것
586,이번
587,이렇게말하자면
588,이런
589,이러한
590,이와같은
591,요만큼
592,요만한것
593,얼마안되는것
594,이만큼
595,이정도의
596,이렇게많은것
597,이와같다
598,이때
599,이렇구나
600,것과같이
601,끼익
602,삐걱
603,따위
604,와같은사람들
605,부류의사람들
606,왜냐하면
607,중의하나
608,오직
609,오로지
610,에한하다
611,하기만하면
612,도착하다
613,까지미치다
614,도달하다
615,정도에이르다
616,할지경이다
617,결과에이르다
618,관해서는
619,여러분
620,하고있다
621,한후
622,혼자
623,자기
624,자기집
625,자신
626,우에종합한것과같이
627,총적으로보면
628,총적으로말하면
629,총적으로
630,대로하다
631,으로서
632,참
633,그만이다
634,할따름이다
635,쿵
636,탕탕
637,쾅쾅
638,둥둥
639,봐
640,봐라
641,아이야
642,아니
643,와아
644,응
645,아이
646,참나
647,년
648,월
649,일
650,령
651,영
652,일
653,이
654,삼
655,사
656,오
657,육
658,륙
659,칠
660,팔
661,구
662,이천육
663,이천칠
664,이천팔
665,이천구
666,하나
667,둘
668,셋
669,넷
670,다섯
671,여섯
672,일곱
673,여덟
674,아홉
675,령
676,영
