일자,주가변동,sent_score,sent_label,sent_label_whole
20210101,75.0,230.60641765627602,57,1
20210102,14.0,27.51162406654334,11,1
20210103,93.0,243.46920767634143,71,1
20210104,270.0,125.02806885601306,175,1
20210105,0.0,-327.44446491269133,124,0
20210106,242.0,2.863534679104295,139,1
20210107,212.0,-73.0877082338855,118,1
20210108,0.0,-478.90895217291535,68,0
20210109,0.0,-39.21452079462531,8,1
20210110,0.0,28.10090630004593,41,1
20210111,0.0,-51.49104794322506,126,1
20210112,220.0,112.53770979171243,139,1
20210113,236.0,179.4417988303297,147,1
20210114,0.0,-185.26801682521418,104,1
20210115,0.0,-37.58642527673234,74,1
20210116,20.0,40.843618435085155,16,1
20210117,97.0,43.16685011502195,63,1
20210118,235.0,131.43088464409587,151,1
20210119,231.0,12.145861598078302,138,1
20210120,246.0,111.50110472489764,160,1
20210121,0.0,96.26140273429415,135,1
20210122,160.0,37.28211307986719,95,1
20210123,0.0,-2.7732780489661226,3,1
20210124,0.0,15.699686947241185,51,1
20210125,0.0,-115.76864268494658,139,1
20210126,0.0,-1791.2928403690255,105,0
20210127,0.0,-1837.0558382011295,127,0
20210128,0.0,-3487.8624202469273,123,0
20210129,219.0,-2108.139939811455,96,0
20210130,16.0,64.47376900509495,14,1
20210131,107.0,188.07688479856662,76,1
20210201,263.0,249.73894832281638,165,1
20210202,208.0,199.58211452787734,129,1
20210203,0.0,-368.7819214861305,120,0
20210204,224.0,-195.4474102839357,121,0
20210205,0.0,-245.14442328520406,86,0
20210206,0.0,-44.67755418131077,9,1
20210207,0.0,10.043836472852535,58,1
20210208,0.0,-307.6808869960313,119,0
20210209,236.0,-202.48684190562994,136,0
20210210,173.0,-160.92512805896936,83,1
20210211,38.0,54.34002915138134,22,1
20210212,33.0,19.354923005352937,19,1
20210213,36.0,-1.107940788188464,22,1
20210214,117.0,135.99452538982078,84,1
20210215,236.0,38.37735725134308,139,1
20210216,0.0,-150.58294154837498,108,1
20210217,0.0,-202.10404867022336,109,0
20210218,213.0,8.30082806057819,123,1
20210219,0.0,-193.0051374192899,82,1
20210220,0.0,50.663029317730114,16,1
20210221,0.0,-43.260265438265584,59,1
20210222,0.0,-293.69391717650996,103,0
20210223,0.0,-196.55994727134572,107,0
20210224,238.0,106.29293433206705,134,1
20210225,0.0,-170.3325530995293,116,1
20210226,149.0,96.4230542251676,93,1
20210227,22.0,38.50490695892493,14,1
20210228,80.0,49.06875298924697,50,1
20210301,146.0,214.01864462625986,95,1
20210302,241.0,9.124430529205377,143,1
20210303,0.0,-281.93411438171415,98,0
20210304,0.0,-602.4499691593076,102,0
20210305,0.0,-872.3194105185895,88,0
20210306,0.0,20.60708688985473,10,1
20210307,0.0,-14.44454420163864,54,1
20210308,0.0,-255.10178372353812,109,0
20210309,0.0,-440.44748371549946,95,0
20210310,246.0,2.469665902148577,135,1
20210311,224.0,191.90541282271602,150,1
20210312,0.0,-193.23983090787323,65,1
20210313,20.0,12.17768423737127,11,1
20210314,88.0,114.53652161314271,56,1
20210315,265.0,46.948954911737765,161,1
20210316,0.0,-429.55901580290725,102,0
20210317,247.0,-47.99865660916939,144,1
20210318,0.0,-430.7594317180526,97,0
20210319,0.0,-118.47805442514394,76,1
20210320,0.0,2.086907814094561,7,1
20210321,0.0,32.89075705787519,57,1
20210322,0.0,-276.4139371610102,111,0
20210323,0.0,-192.34209541591738,100,1
20210324,284.0,-25.565437298293638,152,1
20210325,244.0,216.18903213329185,152,1
20210326,0.0,-973.313758439273,83,0
20210327,23.0,14.108830614102327,13,1
20210328,102.0,126.43647477444578,72,1
20210329,283.0,124.6514295928842,163,1
20210330,0.0,-487.6402177507882,105,0
20210331,286.0,-53.54821203695719,164,1
20210401,253.0,73.8818597108728,150,1
20210402,152.0,106.80429576092138,94,1
20210403,16.0,5.719071001685687,10,1
20210404,81.0,102.79223682606933,56,1
20210405,259.0,-207.36841734986945,145,0
20210406,231.0,196.0633589641393,143,1
20210407,243.0,-39.592784390161185,136,1
20210408,0.0,-385.67652488045815,98,0
20210409,178.0,52.70549910517912,108,1
20210410,20.0,37.31178758937686,12,1
20210411,89.0,190.18515068046378,67,1
20210412,263.0,96.58833858385378,165,1
20210413,249.0,-142.75078285057816,140,1
20210414,240.0,26.622896963790147,146,1
20210415,276.0,-132.7948253447669,158,1
20210416,170.0,-111.97672182089151,98,1
20210417,23.0,78.84825115381078,19,1
20210418,106.0,82.64884117049927,71,1
20210419,240.0,43.567765855345215,147,1
20210420,0.0,-546.6822326980482,141,0
20210421,263.0,-245.8711338021969,141,0
20210422,260.0,30.570676228177533,158,1
20210423,188.0,-86.22252691764427,114,1
20210424,0.0,85.27729323719524,18,1
20210425,0.0,240.7609634591892,81,1
20210426,0.0,-255.57149375238006,118,0
20210427,0.0,-3217.149833994062,119,0
20210428,0.0,-5513.26234741786,110,0
20210429,0.0,-1300.9537070303961,125,0
20210430,0.0,-339.67413719276624,91,0
20210501,22.0,16.299578212845773,14,1
20210502,89.0,133.91578996580176,56,1
20210503,258.0,-189.58695009613524,145,1
20210504,198.0,53.43613979554158,124,1
20210505,126.0,239.8608763327095,88,1
20210506,246.0,-324.52368478726083,136,0
20210507,140.0,-161.16202741118653,80,1
20210508,0.0,-492.6788704071252,19,0
20210509,0.0,75.34608856963149,59,1
20210510,0.0,-708.6002550746803,124,0
20210511,0.0,-614.4734498572493,107,0
20210512,0.0,-735.7763884614692,131,0
20210513,231.0,-158.3520765244736,137,1
20210514,0.0,-614.2353383893583,92,0
20210515,27.0,62.9229622132228,20,1
20210516,110.0,211.0220080736876,77,1
20210517,266.0,-25.08918821806538,161,1
20210518,0.0,-407.53130485603697,100,0
20210519,0.0,-2.621811579807766,60,1
20210520,0.0,-305.58698096173026,120,0
20210521,0.0,-154.6485056076025,86,1
20210522,34.0,97.28664525248932,23,1
20210523,109.0,101.33481978681975,67,1
20210524,249.0,254.69892047589354,168,1
20210525,0.0,15.785001947945256,122,1
20210526,0.0,-333.0243995638694,115,0
20210527,266.0,46.60440101040197,153,1
20210528,163.0,-103.44709559290378,91,1
20210529,27.0,80.23860250636451,18,1
20210530,97.0,128.99473708868697,71,1
20210531,251.0,-31.301118154593183,149,1
20210601,239.0,-64.96717272379017,132,1
20210602,230.0,115.62093407510231,141,1
20210603,0.0,-315.16529897384925,123,0
20210604,160.0,-205.2729471123697,86,0
20210605,0.0,17.921562153725294,13,1
20210606,0.0,77.41696848702122,56,1
20210607,0.0,-286.0205143910114,99,0
20210608,0.0,-1761.4747734146338,113,0
20210609,216.0,78.62888770997264,133,1
20210610,229.0,-41.11929816685551,129,1
20210611,163.0,-271.0234948968407,87,0
20210612,24.0,75.92746246996265,21,1
20210613,93.0,104.60245689243706,62,1
20210614,229.0,0.756355119087365,151,1
20210615,214.0,-44.367584364235604,120,1
20210616,0.0,-428.1367439227909,119,0
20210617,211.0,199.6337826175131,135,1
20210618,0.0,-303.5227074628405,67,0
20210619,19.0,25.542586390621224,10,1
20210620,84.0,1.439461247667964,58,1
20210621,233.0,123.83149006552685,144,1
20210622,214.0,138.45460072610754,130,1
20210623,271.0,-180.6598457890671,145,1
20210624,244.0,-208.97541904350717,134,0
20210625,0.0,-527.4290461965645,56,0
20210626,0.0,-6.85167491305255,12,1
20210627,0.0,9.710411642061757,53,1
20210628,0.0,-315.7026440877073,136,0
20210629,222.0,-89.68515228947734,129,1
20210630,0.0,-428.3944777171959,127,0
20210701,0.0,-991.988435500346,131,0
20210702,204.0,-324.82230002008237,109,0
20210703,18.0,31.040429967115642,13,1
20210704,93.0,208.59145188997584,64,1
20210705,256.0,-123.28429108551981,149,1
20210706,0.0,-166.4933164255618,97,1
20210707,0.0,-675.214666469293,117,0
20210708,0.0,-589.7921145850821,100,0
20210709,169.0,-318.4964462071747,87,0
20210710,28.0,76.21961483446071,21,1
20210711,101.0,176.46229324791958,70,1
20210712,262.0,128.99078212934037,161,1
20210713,0.0,-271.35267366490666,108,0
20210714,258.0,12.409103106394138,152,1
20210715,0.0,-308.5338173296591,110,0
20210716,0.0,-428.0738571344279,71,0
20210717,0.0,-3.6002053043047653,11,1
20210718,0.0,135.35953144757977,55,1
20210719,0.0,-213.2285496973251,125,0
20210720,0.0,-351.4590423193553,130,0
20210721,255.0,-169.93455493256738,140,1
20210722,264.0,-66.57165668802175,149,1
20210723,0.0,-489.7037604200965,61,0
20210724,22.0,48.419986294241234,15,1
20210725,90.0,168.070087583594,61,1
20210726,222.0,49.38017926008314,136,1
20210727,254.0,-569.8404317482316,133,0
20210728,255.0,-496.97101186451306,131,0
20210729,0.0,-828.3620440051695,117,0
20210730,169.0,-364.4556192428162,82,0
20210731,22.0,32.6882085147765,14,1
20210801,80.0,79.98905439354077,53,1
20210802,223.0,135.69341442921643,141,1
20210803,215.0,-50.29611774070892,125,1
20210804,0.0,-471.99921904615593,99,0
20210805,0.0,-448.95569061722324,89,0
20210806,0.0,-478.7826029196068,78,0
20210807,0.0,6.657320599680385,12,1
20210808,0.0,-10.645455425327516,44,1
20210809,0.0,-341.11125023962387,110,0
20210810,0.0,-424.7847907835923,109,0
20210811,0.0,-638.2500351810635,108,0
20210812,0.0,-595.2817616853603,96,0
20210813,0.0,-598.9713156326842,68,0
20210814,23.0,63.28324869014743,18,1
20210815,84.0,148.64227274879332,56,1
20210816,121.0,184.06692213833512,78,1
20210817,247.0,-380.918843805536,124,0
20210818,0.0,-450.2041418372501,105,0
20210819,0.0,-736.4756951929128,83,0
20210820,135.0,-174.29366778619314,69,1
20210821,21.0,36.05027189657594,13,1
20210822,99.0,183.54194923833384,73,1
20210823,194.0,48.38104052409533,124,1
20210824,214.0,-11.433845429796847,122,1
20210825,0.0,-326.63844831129984,103,0
20210826,235.0,185.60915629245952,145,1
20210827,129.0,-40.35345886349338,62,1
20210828,24.0,-29.995442580264285,10,1
20210829,111.0,-475.6514885540643,79,0
20210830,201.0,-123.9135746564528,123,1
20210831,195.0,21.156020741953427,115,1
20210901,0.0,-90.99515801359104,129,1
20210902,208.0,-47.37379772418046,119,1
20210903,132.0,-91.40827617965148,66,1
20210904,0.0,-0.661071824314169,8,1
20210905,0.0,53.29693598770606,49,1
20210906,0.0,-291.3655222450577,114,0
20210907,0.0,-97.81695225186496,110,1
20210908,0.0,-12587.228101293216,111,0
20210909,238.0,91.45252850089037,143,1
20210910,138.0,2.001229404686557,78,1
20210911,18.0,37.315643911717444,12,1
20210912,107.0,150.57400915852497,67,1
20210913,239.0,283.40207068768177,158,1
20210914,211.0,89.50732941417431,131,1
20210915,0.0,-116.81959546956269,136,1
20210916,198.0,-37.830079737097776,112,1
20210917,0.0,-124.75868956237098,73,1
20210918,0.0,-595.2728209233102,15,0
20210919,0.0,-0.156356123639106,17,1
20210920,0.0,1.5722704430867207,27,1
20210921,0.0,23.744148724713938,24,1
20210922,0.0,1.5084332229355013,84,1
20210923,0.0,-598.0258342091275,114,0
20210924,149.0,-43.53972032900679,79,1
20210925,0.0,20.81663266138625,22,1
20210926,0.0,-14.882131484956373,70,1
20210927,0.0,-94.8768475442606,103,1
20210928,0.0,-245.45130127780013,126,0
20210929,259.0,-384.6990704655916,135,0
20210930,0.0,-423.4243503434548,109,0
20211001,0.0,-447.74788474307525,66,0
20211002,0.0,-132.2438915789935,12,1
20211003,0.0,14.002964841386554,33,1
20211004,0.0,149.98146077447078,74,1
20211005,0.0,-183.84032394236002,119,1
20211006,237.0,105.24359253932106,142,1
20211007,0.0,-129.823048770694,110,1
20211008,0.0,-352.5465662844317,59,0
20211009,21.0,-28.031514907944153,9,1
20211010,64.0,-4.708289203836994,38,1
20211011,154.0,231.4781951777435,104,1
20211012,243.0,230.14493186359047,157,1
20211013,212.0,-226.68587875203932,131,0
20211014,216.0,11.754041113073342,140,1
20211015,0.0,-10.435172057959615,72,1
20211016,14.0,3.2850155895915156,10,1
20211017,96.0,112.98846857597778,63,1
20211018,182.0,-83.53131885195155,104,1
20211019,0.0,12.105069134842825,132,1
20211020,0.0,94.71073588825458,99,1
20211021,0.0,-230.4207911346757,108,0
20211022,131.0,38.05083130378923,78,1
20211023,21.0,3.32533480500589,10,1
20211024,80.0,121.34418055768693,60,1
20211025,209.0,55.58064979293117,135,1
20211026,0.0,-391.3245677853471,102,0
20211027,0.0,-408.77148106672144,115,0
20211028,0.0,-399.1240928064451,103,0
20211029,150.0,-243.48600136253762,71,0
20211030,13.0,6.613358222836528,7,1
20211031,99.0,73.8389358103309,63,1
20211101,225.0,120.90737797158874,137,1
20211102,0.0,-177.11629607052637,94,1
20211103,223.0,-10.867024989835713,120,1
20211104,0.0,-101.39810651917925,105,1
20211105,0.0,-435.1456463101095,51,0
20211106,29.0,-20.178379022760176,11,1
20211107,78.0,91.70699138179936,55,1
20211108,215.0,37.57884978274603,124,1
20211109,0.0,-452.5548417763306,87,0
20211110,0.0,-1575.6852826278696,101,0
20211111,219.0,-149.07642738772705,122,1
20211112,148.0,-182.38354591207403,75,1
20211113,0.0,15.593861031107785,14,1
20211114,0.0,64.61989156745572,51,1
20211115,0.0,-561.9622795290865,103,0
20211116,0.0,-86.26394251326063,92,1
20211117,0.0,-153.914774273795,98,1
20211118,197.0,-370.28649362186536,108,0
20211119,159.0,30.684437184620712,92,1
20211120,0.0,-6.459296452303557,7,1
20211121,0.0,-18.12191715882915,50,1
20211122,0.0,19.21314310585519,108,1
20211123,0.0,-312.25827839794914,87,0
20211124,0.0,-480.25056533165645,108,0
20211125,0.0,-1250.9718326365742,117,0
20211126,0.0,-190.02346929124934,72,1
20211127,0.0,5.99710344439497,11,1
20211128,0.0,47.23742131843507,57,1
20211129,0.0,-46.95074195585637,107,1
20211130,219.0,56.23101622288084,132,1
20211201,229.0,9.555084067230245,126,1
20211202,213.0,147.68174161783685,125,1
20211203,130.0,-8.100586083269164,78,1
20211204,17.0,3.931243330693155,9,1
20211205,109.0,49.74650388799357,63,1
20211206,217.0,135.91086797300764,131,1
20211207,229.0,-66.91385129639106,128,1
20211208,180.0,64.9612880484995,109,1
20211209,0.0,-135.0810771719783,85,1
20211210,0.0,-150.3580522034447,73,1
20211211,0.0,2.571818625837352,8,1
20211212,0.0,-106.13583180257034,61,1
20211213,0.0,-1.666918733190247,119,1
20211214,222.0,190.04800295660712,137,1
20211215,243.0,77.04577679061521,147,1
20211216,211.0,25.527001901358553,126,1
20211217,0.0,-525.6056239224538,71,0
20211218,20.0,30.878269806075334,14,1
20211219,89.0,150.61708508742467,61,1
20211220,216.0,223.4852738700162,144,1
20211221,223.0,-13.710842813664573,120,1
20211222,209.0,31.469067760712594,114,1
20211223,204.0,21.368759543739078,116,1
20211224,0.0,-125.60153194208614,52,1
20211225,21.0,44.07143838644946,17,1
20211226,105.0,140.5667207856399,69,1
20211227,193.0,-33.98377366102807,113,1
20211228,0.0,-182.49400972659993,96,1
20211229,0.0,-268.61271078711377,77,0
20211230,0.0,-235.0032379461089,92,0
20211231,0.0,-4.206880688894195,64,1
